Node,Centrality
record,0.00145602795573675
date,0.008153756552125802
210,0.0020384391380314504
##5,0.011648223645894
01,0.00553290623179965
17,0.008736167734420501
sd,0.0017472335468841002
##u,0.0157251019219569
##ea,0.0023296447291788003
##m,0.039021549213744906
j,0.00786255096097845
##ar,0.005824111822947
ad,0.010192195690157252
##mi,0.0052417006406523005
##ss,0.0020384391380314504
##ion,0.017181129877693654
##te,0.015433896330809552
pa,0.004659289458357601
##ti,0.009900990099009901
##en,0.010774606872451952
##t,0.0634828188701223
fred,0.0008736167734420501
##rick,0.0008736167734420501
walter,0.0005824111822947001
mr,0.015433896330809552
73,0.0026208503203261502
##9,0.009609784507862552
##48,0.0011648223645894002
##nd,0.0034944670937682005
##ing,0.014560279557367502
u,0.027955736750145604
##r,0.039021549213744906
##win,0.0005824111822947001
oro,0.0008736167734420501
##sco,0.0017472335468841002
pc,0.006697728596389051
##p,0.030285381479324403
tara,0.0005824111822947001
phi,0.0005824111822947001
##pps,0.0005824111822947001
fa,0.0017472335468841002
##l,0.05329062317996506
##y,0.035235876528829355
co,0.023878858474082703
##nt,0.010192195690157252
##ac,0.00553290623179965
wife,0.0032032615026208505
francis,0.0005824111822947001
##ca,0.004659289458357601
duo,0.0017472335468841002
##ng,0.006697728596389051
c,0.052417006406523005
51,0.0026208503203261502
##6,0.016598718695398952
53,0.0026208503203261502
##2,0.023296447291788
09,0.008153756552125802
##45,0.0011648223645894002
h,0.07192778101339546
55,0.004076878276062901
##3,0.012230634828188702
59,0.0037856726849155504
##4,0.010483401281304601
221,0.0011648223645894002
##7,0.015142690739662202
##o,0.028246942341292953
##ur,0.0034944670937682005
##ce,0.008736167734420501
pat,0.00553290623179965
##ient,0.00553290623179965
ph,0.004076878276062901
##ys,0.009900990099009901
##ici,0.0026208503203261502
##an,0.0011648223645894002
pass,0.0020384391380314504
##de,0.007571345369831101
st,0.014560279557367502
##at,0.006406523005241701
##us,0.014560279557367502
f,0.027955736750145604
##ll,0.0017472335468841002
##e,0.04688410017472336
05,0.00553290623179965
