Node,Centrality
record,0.005758157389635317
date,0.005374280230326296
206,0.0038387715930902114
##9,0.019577735124760076
10,0.015355086372360846
07,0.02111324376199616
z,0.007677543186180423
##ol,0.009980806142034549
##lm,0.0007677543186180423
##an,0.012284069097888676
e,0.04644913627639156
##me,0.0049904030710172746
##r,0.03147792706333973
##ge,0.006525911708253359
##nc,0.0034548944337811902
##y,0.03761996161228407
de,0.006142034548944338
##p,0.01650671785028791
##t,0.04222648752399232
vi,0.011900191938579656
##si,0.0038387715930902114
##ss,0.006142034548944338
##e,0.0326295585412668
ram,0.0007677543186180423
##on,0.018042226487523995
##a,0.024568138195777352
44,0.0034548944337811902
##6,0.018042226487523995
90,0.007293666026871402
33,0.0038387715930902114
6,0.013819577735124761
##at,0.005758157389635317
69,0.005374280230326296
##im,0.0038387715930902114
##ic,0.015738963531669866
##ta,0.005758157389635317
##ti,0.007293666026871402
1,0.028023032629558544
p,0.05412667946257198
pr,0.011900191938579656
##es,0.02111324376199616
##en,0.011900191938579656
##ng,0.002687140115163148
co,0.02418426103646833
##mp,0.005374280230326296
##la,0.011900191938579656
##in,0.020729366602687142
h,0.04107485604606526
##is,0.039539347408829174
##to,0.002687140115163148
patient,0.10518234165067179
63,0.0038387715930902114
year,0.011900191938579656
old,0.0069097888675623805
female,0.008061420345489444
presents,0.009213051823416507
##oll,0.0007677543186180423
##man,0.0015355086372360845
community,0.0015355086372360845
clinic,0.006142034548944338
emergency,0.009980806142034549
department,0.009980806142034549
home,0.008445297504798464
found,0.0034548944337811902
daughter,0.0023032629558541267
inside,0.0007677543186180423
un,0.0049904030710172746
##sp,0.006142034548944338
##ec,0.0038387715930902114
##ified,0.0007677543186180423
amount,0.0034548944337811902
time,0.015355086372360846
para,0.0038387715930902114
##med,0.0007677543186180423
##ics,0.0034548944337811902
police,0.0015355086372360845
called,0.002687140115163148
scene,0.0007677543186180423
able,0.0023032629558541267
force,0.0007677543186180423
open,0.002687140115163148
door,0.0007677543186180423
unconscious,0.0007677543186180423
floor,0.0015355086372360845
generalized,0.0007677543186180423
ton,0.0007677543186180423
c,0.0326295585412668
##lon,0.002687140115163148
seizure,0.003071017274472169
##tub,0.0019193857965451057
##ated,0.012667946257197697
given,0.008445297504798464
4,0.01689059500959693
mg,0.007293666026871402
##iva,0.0015355086372360845
##n,0.033397312859884835
