Node,Centrality
record,0.3335894480727366
date,0.28976640711902113
206,0.2858240070221637
##9,0.33774147543109034
10,0.3521221951878886
07,0.36210731164859605
z,0.3232009925558313
##ol,0.3562149596608779
##lm,0.27665675446049276
##an,0.35398831362956923
e,0.3978313989004276
##me,0.31583414161008727
##r,0.3799037479947499
##ge,0.31438571083755734
##nc,0.3080288518387135
##y,0.39996929218486105
de,0.3146895385358782
##p,0.3617553117622552
##t,0.3968012185833968
vi,0.3466400532268796
##si,0.31085918854415273
##ss,0.33910439989586044
##e,0.37896421297643296
ram,0.29187675070028013
##on,0.37193032552826955
##a,0.36679808504646577
44,0.3296633763604151
##6,0.32974683544303796
90,0.32452971222125326
33,0.3081017149615612
6,0.3319740028036192
##at,0.3268917053582633
69,0.3142719266497768
##im,0.31457553435575414
##ic,0.34096858638743455
##ta,0.3087224460772695
##ti,0.32268054007184443
1,0.3729954180985109
p,0.40792358283745694
pr,0.3461794019933555
##es,0.3748201438848921
##en,0.3432147562582345
##ng,0.3110819202292811
co,0.3673670850373713
##mp,0.32105003697313284
##la,0.3526942864879502
##in,0.35851913019543075
h,0.4018201449946013
##is,0.3901452748240228
##to,0.3171028606208156
patient,0.4449188727583262
63,0.3332054233819391
year,0.3021340756205057
old,0.3117893476959904
female,0.31377981209347144
presents,0.32849936948297603
##oll,0.24485383964658333
##man,0.2419429739017368
community,0.26398459667612484
clinic,0.32014255868256114
emergency,0.33239760112287864
department,0.3371731814651825
home,0.3441215323645971
found,0.32332133548467173
daughter,0.2667963949201147
inside,0.25764019384828407
un,0.3233614697120159
##sp,0.3108220976017182
##ec,0.2902830398930243
##ified,0.23515074923271348
amount,0.28358371434792073
time,0.36205698401667824
para,0.31134217760248595
##med,0.2424609084139985
##ics,0.273576979626129
police,0.2203332487524317
called,0.2557682866961217
scene,0.2046186473961197
able,0.2620724346076459
force,0.23059219261750907
open,0.29181135879914866
door,0.2600838658146965
unconscious,0.2465688594415523
floor,0.2731753355704698
generalized,0.2205944618511305
ton,0.2544690827390837
c,0.38252569750367105
##lon,0.3141961162706549
seizure,0.32987210333037864
##tub,0.3204576208635749
##ated,0.33972352634324465
given,0.33556614710807675
4,0.33994519117838967
mg,0.3185764950470833
##iva,0.29575386012715715
##n,0.38759113227198333
prior,0.33380317785750896
arrival,0.3048209688743272
noted,0.3711354893859524
coma,0.2744994731296101
##tos,0.2865156181258249
clearly,0.2721479314667781
acute,0.3496175010065763
distress,0.3410132216258673
