Node,Centrality
record,0.0023897754489466223
date,0.0019976953242849898
206,0.00017596010822694215
##9,0.006750450334466553
10,0.004332755401826409
07,0.007141554109357014
z,0.0029026374028524823
##ol,0.002437307251714446
##lm,1.097874700957731e-06
##an,0.005417387510446953
e,0.04304431978022643
##me,0.0004809584241186608
##r,0.020049025600047087
##ge,0.0014004150528577409
##nc,0.00022761747736805554
##y,0.0332285910562229
de,0.0024091247158424386
##p,0.01151110952618447
##t,0.03390156721328557
vi,0.003160599433180108
##si,0.0001376921732478896
##ss,0.0011725195923914303
##e,0.021801213396823737
ram,1.5963153902018634e-06
##on,0.0076540173320761564
##a,0.016886003992275158
44,0.0003210479563931778
##6,0.006534494597100218
90,0.0014220911526565826
33,0.00026934033374260296
6,0.004344290423873504
##at,0.000534635124041188
69,0.0003328662238626885
##im,0.00011155724275058083
##ic,0.010498062267306705
##ta,0.0016198563589497166
##ti,0.0015734848301960697
1,0.014037211644104102
p,0.05635558289907525
pr,0.0036178886851173766
##es,0.010127805785215271
##en,0.00389701733553804
##ng,0.00014475630856115496
co,0.016994697700277884
##mp,0.0008925766591023469
##la,0.005222365732742525
##in,0.013847181701036517
h,0.03219183604510681
##is,0.03939832357880727
##to,0.00022591614701626962
patient,0.16780599064859783
63,0.0011057934936512398
year,0.0016299715102447356
old,0.0014254118749911927
female,0.002498695119909617
presents,0.005291892782718475
##oll,2.9708174734994697e-05
##man,5.130634864046339e-05
community,0.00018734914017487508
clinic,0.0024146282360215333
emergency,0.0037868421283296185
department,0.004658737616271465
home,0.00662197770399699
found,0.001389937796053268
daughter,0.0004897559615805732
inside,1.5995172097894165e-05
un,0.0019125184962008066
##sp,0.0023622228991115337
##ec,0.0008126183774579595
##ified,7.865811129959564e-06
amount,0.0006698009370925959
time,0.010273562416808426
para,0.0009757639095149894
##med,1.6709994307784886e-05
##ics,0.0013480427804591557
police,9.833525591706923e-05
called,0.0017371887884903628
scene,0.0
able,0.0007256370852484439
force,1.1148488148373673e-05
open,0.0016834001142584704
door,1.3067252617539058e-05
unconscious,5.331262503481518e-06
floor,0.0006593062769458618
generalized,3.988715539410346e-06
ton,0.0002179460407055964
c,0.026309464190821585
##lon,0.00017134471893103805
seizure,0.0012599712702239948
##tub,0.000146937716360703
##ated,0.0019469232576121362
given,0.0035480399493903222
4,0.00497823635656963
mg,0.0014793454028444889
##iva,0.00020553969540283585
##n,0.026393733065438692
prior,0.0059175264112101686
arrival,0.0008378464421145794
noted,0.007239931466311648
coma,0.0011416275612554433
##tos,0.0006980226041422597
clearly,3.277666110626035e-06
acute,0.008296476561007056
distress,0.003081292244686319
history,0.023335549754588975
diabetes,0.007821846395718451
##lli,1.088577478183253e-05
##tus,0.0017753995942817995
past,0.005446564264932
apparently,0.00024239359752204257
secondary,0.0009129970736935234
##po,0.0013320502447544034
##gly,4.750481507888411e-05
##ce,0.0007735707939140693
##mia,0.001989494735941156
also,0.004828895260564262
high,0.002753352127687365
blood,0.008430112111547351
pressure,0.007051519206002438
di,0.018741809447518545
##lt,0.0003463194918907898
##ia,0.01120474424547794
##ze,5.3801782559106826e-06
##m,0.0051891910416603385
l,0.008344910337557824
##isi,8.890978919098257e-05
##no,0.0008558230277308493
##ril,0.0005067758021419828
medications,0.0027202755977368633
##yper,0.00012354448838730438
##cho,5.671549338793102e-05
##les,0.0007161252000271874
##tero,5.06345565097261e-06
##lem,0.0001977438192326647
##h,0.010412195070910103
##ca,2.6971397383614028e-05
##l,0.023813024962758746
##x,0.007745714563784006
##am,0.0008059901441915829
##ion,0.018960608968247254
temperature,0.0006941482567145073
100,0.0025390935634471146
degrees,7.087811853968036e-05
f,0.016074882807770866
pulse,0.006106239951965604
150,0.00024700678764753603
respiratory,0.0030507976707539433
rate,0.004334790564227421
12,0.0032781062303024917
205,4.6336692007234676e-05
##2,0.004600469136070142
sat,0.0006161012943429617
##uration,0.0003115001373817013
98,0.000796075264484338
physical,0.0011923655892760456
examination,0.005805683049155116
##ee,1.3966222234505814e-05
##nt,0.0037212555669639364
reveals,0.0013757567423397603
norm,4.457830631796875e-05
##oc,0.005885024055324759
##ep,0.0007666460325170253
##hali,0.000334417417813378
##c,0.011907269136431791
head,0.0040308329442898675
evidence,0.004304356499768783
trauma,0.0006201736453893998
pupils,0.000171207029348342
equal,0.001332485523676141
round,0.00010577891506038841
weakly,0.0
reactive,0.0007613957880736187
light,0.0039647138172175
2,0.023578057286824397
mm,0.0004387129164148975
fund,0.0002770676679186879
##i,0.0027700827311118903
cannot,0.0003247542896908583
visual,8.529292034288312e-05
##ized,0.0001468305814345012
neck,0.00889115861370538
su,0.0020406459984900214
##pp,0.00021416216229411467
##le,0.00607328267319142
step,0.00012021422687558501
offs,2.6022070303995003e-05
chest,0.011551139966063358
clear,0.005770923030092984
au,3.6267404387586334e-05
##s,0.0751402711337173
##cu,0.0004276955024544854
##lta,3.1667811898100114e-06
##tion,0.005380231579678476
bilateral,0.0035580474864530163
##ly,0.011230755995256931
heart,0.0034479200079735087
normal,0.02429428625801767
##1,0.004045244936981374
##3,0.004414564038354433
